[FLOATING(depth-matched)] Epoch 075/300 | train_loss=1.1834 train_acc~=80.78% | val_loss=0.9913 val_acc=86.86% | best=86.86%@75 | elapsed=13.3m
[FLOATING(depth-matched)] Epoch 076/300 | train_loss=1.1683 train_acc~=82.54% | val_loss=0.9721 val_acc=87.19% | best=87.19%@76 | elapsed=13.5m
[FLOATING(depth-matched)] Epoch 077/300 | train_loss=1.0963 train_acc~=83.47% | val_loss=0.9532 val_acc=87.50% | best=87.50%@77 | elapsed=13.7m
[FLOATING(depth-matched)] Epoch 078/300 | train_loss=1.1606 train_acc~=81.20% | val_loss=0.9346 val_acc=87.69% | best=87.69%@78 | elapsed=13.8m
[FLOATING(depth-matched)] Epoch 079/300 | train_loss=1.1282 train_acc~=81.89% | val_loss=0.9154 val_acc=87.89% | best=87.89%@79 | elapsed=14.0m
[FLOATING(depth-matched)] Epoch 080/300 | train_loss=1.1969 train_acc~=78.82% | val_loss=0.8967 val_acc=88.24% | best=88.24%@80 | elapsed=14.2m
[FLOATING(depth-matched)] Epoch 081/300 | train_loss=1.1962 train_acc~=80.01% | val_loss=0.8787 val_acc=88.49% | best=88.49%@81 | elapsed=14.3m
[FLOATING(depth-matched)] Epoch 082/300 | train_loss=1.1105 train_acc~=84.35% | val_loss=0.8612 val_acc=88.80% | best=88.80%@82 | elapsed=14.5m
[FLOATING(depth-matched)] Epoch 083/300 | train_loss=1.1154 train_acc~=83.42% | val_loss=0.8445 val_acc=88.93% | best=88.93%@83 | elapsed=14.7m
[FLOATING(depth-matched)] Epoch 084/300 | train_loss=1.1260 train_acc~=80.63% | val_loss=0.8299 val_acc=89.18% | best=89.18%@84 | elapsed=14.8m
[FLOATING(depth-matched)] Epoch 085/300 | train_loss=1.0889 train_acc~=85.56% | val_loss=0.8141 val_acc=89.32% | best=89.32%@85 | elapsed=15.0m
[FLOATING(depth-matched)] Epoch 086/300 | train_loss=1.1609 train_acc~=81.04% | val_loss=0.7994 val_acc=89.52% | best=89.52%@86 | elapsed=15.2m
[FLOATING(depth-matched)] Epoch 087/300 | train_loss=1.1290 train_acc~=81.91% | val_loss=0.7847 val_acc=89.72% | best=89.72%@87 | elapsed=15.3m
[FLOATING(depth-matched)] Epoch 088/300 | train_loss=1.1776 train_acc~=81.17% | val_loss=0.7694 val_acc=89.91% | best=89.91%@88 | elapsed=15.5m
[FLOATING(depth-matched)] Epoch 089/300 | train_loss=1.1383 train_acc~=82.17% | val_loss=0.7560 val_acc=90.09% | best=90.09%@89 | elapsed=15.7m
[FLOATING(depth-matched)] Epoch 090/300 | train_loss=1.1844 train_acc~=80.26% | val_loss=0.7419 val_acc=90.24% | best=90.24%@90 | elapsed=15.8m
[FLOATING(depth-matched)] Epoch 091/300 | train_loss=1.1084 train_acc~=84.11% | val_loss=0.7289 val_acc=90.46% | best=90.46%@91 | elapsed=16.0m
[FLOATING(depth-matched)] Epoch 092/300 | train_loss=1.0277 train_acc~=85.76% | val_loss=0.7169 val_acc=90.59% | best=90.59%@92 | elapsed=16.2m
[FLOATING(depth-matched)] Epoch 093/300 | train_loss=1.0707 train_acc~=85.13% | val_loss=0.7043 val_acc=90.71% | best=90.71%@93 | elapsed=16.3m
[FLOATING(depth-matched)] Epoch 094/300 | train_loss=1.1699 train_acc~=81.03% | val_loss=0.6932 val_acc=90.91% | best=90.91%@94 | elapsed=16.5m
[FLOATING(depth-matched)] Epoch 095/300 | train_loss=1.1351 train_acc~=84.01% | val_loss=0.6811 val_acc=90.97% | best=90.97%@95 | elapsed=16.7m
[FLOATING(depth-matched)] Epoch 096/300 | train_loss=1.1299 train_acc~=82.42% | val_loss=0.6701 val_acc=91.13% | best=91.13%@96 | elapsed=16.8m
[FLOATING(depth-matched)] Epoch 097/300 | train_loss=1.1832 train_acc~=80.73% | val_loss=0.6594 val_acc=91.26% | best=91.26%@97 | elapsed=17.0m
[FLOATING(depth-matched)] Epoch 098/300 | train_loss=1.1615 train_acc~=80.88% | val_loss=0.6488 val_acc=91.45% | best=91.45%@98 | elapsed=17.2m
[FLOATING(depth-matched)] Epoch 099/300 | train_loss=1.1105 train_acc~=83.47% | val_loss=0.6390 val_acc=91.52% | best=91.52%@99 | elapsed=17.3m
[FLOATING(depth-matched)] Epoch 100/300 | train_loss=1.1019 train_acc~=83.61% | val_loss=0.6276 val_acc=91.64% | best=91.64%@100 | elapsed=17.5m
[FLOATING(depth-matched)] Epoch 101/300 | train_loss=1.1463 train_acc~=82.39% | val_loss=0.6190 val_acc=91.72% | best=91.72%@101 | elapsed=17.7m
[FLOATING(depth-matched)] Epoch 102/300 | train_loss=1.1634 train_acc~=80.30% | val_loss=0.6099 val_acc=91.81% | best=91.81%@102 | elapsed=17.8m
[FLOATING(depth-matched)] Epoch 103/300 | train_loss=1.1021 train_acc~=84.87% | val_loss=0.6022 val_acc=91.83% | best=91.83%@103 | elapsed=18.0m
[FLOATING(depth-matched)] Epoch 104/300 | train_loss=1.1319 train_acc~=83.31% | val_loss=0.5933 val_acc=91.90% | best=91.90%@104 | elapsed=18.2m
[FLOATING(depth-matched)] Epoch 105/300 | train_loss=1.0734 train_acc~=85.59% | val_loss=0.5850 val_acc=92.04% | best=92.04%@105 | elapsed=18.3m
[FLOATING(depth-matched)] Epoch 106/300 | train_loss=1.1507 train_acc~=82.41% | val_loss=0.5771 val_acc=92.25% | best=92.25%@106 | elapsed=18.5m
[FLOATING(depth-matched)] Epoch 107/300 | train_loss=1.1200 train_acc~=83.64% | val_loss=0.5691 val_acc=92.24% | best=92.25%@106 | elapsed=18.7m
[FLOATING(depth-matched)] Epoch 108/300 | train_loss=1.0759 train_acc~=84.17% | val_loss=0.5612 val_acc=92.28% | best=92.28%@108 | elapsed=18.8m
[FLOATING(depth-matched)] Epoch 109/300 | train_loss=1.1245 train_acc~=83.43% | val_loss=0.5534 val_acc=92.39% | best=92.39%@109 | elapsed=19.0m
[FLOATING(depth-matched)] Epoch 110/300 | train_loss=1.1314 train_acc~=80.88% | val_loss=0.5467 val_acc=92.47% | best=92.47%@110 | elapsed=19.2m
[FLOATING(depth-matched)] Epoch 111/300 | train_loss=1.1091 train_acc~=84.16% | val_loss=0.5389 val_acc=92.58% | best=92.58%@111 | elapsed=19.3m
[FLOATING(depth-matched)] Epoch 112/300 | train_loss=1.1521 train_acc~=82.20% | val_loss=0.5335 val_acc=92.60% | best=92.60%@112 | elapsed=19.5m
[FLOATING(depth-matched)] Epoch 113/300 | train_loss=1.1431 train_acc~=81.63% | val_loss=0.5262 val_acc=92.67% | best=92.67%@113 | elapsed=19.7m
[FLOATING(depth-matched)] Epoch 114/300 | train_loss=1.1194 train_acc~=83.42% | val_loss=0.5203 val_acc=92.73% | best=92.73%@114 | elapsed=19.8m
[FLOATING(depth-matched)] Epoch 115/300 | train_loss=1.0211 train_acc~=85.67% | val_loss=0.5145 val_acc=92.82% | best=92.82%@115 | elapsed=20.0m
[FLOATING(depth-matched)] Epoch 116/300 | train_loss=1.1676 train_acc~=81.68% | val_loss=0.5089 val_acc=92.87% | best=92.87%@116 | elapsed=20.2m
[FLOATING(depth-matched)] Epoch 117/300 | train_loss=1.1031 train_acc~=84.01% | val_loss=0.5032 val_acc=92.94% | best=92.94%@117 | elapsed=20.3m
[FLOATING(depth-matched)] Epoch 118/300 | train_loss=1.0310 train_acc~=86.50% | val_loss=0.4980 val_acc=92.94% | best=92.94%@117 | elapsed=20.5m
[FLOATING(depth-matched)] Epoch 119/300 | train_loss=1.0707 train_acc~=84.54% | val_loss=0.4925 val_acc=92.98% | best=92.98%@119 | elapsed=20.7m
[FLOATING(depth-matched)] Epoch 120/300 | train_loss=1.1303 train_acc~=83.68% | val_loss=0.4872 val_acc=93.02% | best=93.02%@120 | elapsed=20.8m
[FLOATING(depth-matched)] Epoch 121/300 | train_loss=1.1416 train_acc~=82.17% | val_loss=0.4821 val_acc=93.09% | best=93.09%@121 | elapsed=21.0m
[FLOATING(depth-matched)] Epoch 122/300 | train_loss=1.1095 train_acc~=82.55% | val_loss=0.4769 val_acc=93.18% | best=93.18%@122 | elapsed=21.2m
[FLOATING(depth-matched)] Epoch 123/300 | train_loss=1.1015 train_acc~=85.74% | val_loss=0.4721 val_acc=93.21% | best=93.21%@123 | elapsed=21.3m
[FLOATING(depth-matched)] Epoch 124/300 | train_loss=1.1201 train_acc~=82.95% | val_loss=0.4679 val_acc=93.27% | best=93.27%@124 | elapsed=21.5m
[FLOATING(depth-matched)] Epoch 125/300 | train_loss=1.1210 train_acc~=83.33% | val_loss=0.4634 val_acc=93.34% | best=93.34%@125 | elapsed=21.7m
[FLOATING(depth-matched)] Epoch 126/300 | train_loss=1.0589 train_acc~=84.11% | val_loss=0.4582 val_acc=93.36% | best=93.36%@126 | elapsed=21.8m
[FLOATING(depth-matched)] Epoch 127/300 | train_loss=1.0440 train_acc~=87.19% | val_loss=0.4544 val_acc=93.36% | best=93.36%@127 | elapsed=22.0m
[FLOATING(depth-matched)] Epoch 128/300 | train_loss=1.0786 train_acc~=85.36% | val_loss=0.4499 val_acc=93.46% | best=93.46%@128 | elapsed=22.1m
[FLOATING(depth-matched)] Epoch 129/300 | train_loss=1.0323 train_acc~=86.79% | val_loss=0.4461 val_acc=93.53% | best=93.53%@129 | elapsed=22.3m
[FLOATING(depth-matched)] Epoch 130/300 | train_loss=1.1047 train_acc~=84.22% | val_loss=0.4419 val_acc=93.57% | best=93.57%@130 | elapsed=22.5m
[FLOATING(depth-matched)] Epoch 131/300 | train_loss=1.0578 train_acc~=85.36% | val_loss=0.4386 val_acc=93.62% | best=93.62%@131 | elapsed=22.6m
[FLOATING(depth-matched)] Epoch 132/300 | train_loss=1.0249 train_acc~=86.72% | val_loss=0.4343 val_acc=93.72% | best=93.72%@132 | elapsed=22.8m
[FLOATING(depth-matched)] Epoch 133/300 | train_loss=1.0821 train_acc~=85.40% | val_loss=0.4306 val_acc=93.79% | best=93.79%@133 | elapsed=23.0m
[FLOATING(depth-matched)] Epoch 134/300 | train_loss=1.0456 train_acc~=84.95% | val_loss=0.4266 val_acc=93.84% | best=93.84%@134 | elapsed=23.1m
[FLOATING(depth-matched)] Epoch 135/300 | train_loss=1.0681 train_acc~=87.10% | val_loss=0.4231 val_acc=93.88% | best=93.88%@135 | elapsed=23.3m
[FLOATING(depth-matched)] Epoch 136/300 | train_loss=1.0831 train_acc~=84.15% | val_loss=0.4189 val_acc=93.89% | best=93.89%@136 | elapsed=23.5m
[FLOATING(depth-matched)] Epoch 137/300 | train_loss=1.0988 train_acc~=84.26% | val_loss=0.4164 val_acc=93.93% | best=93.93%@137 | elapsed=23.6m
[FLOATING(depth-matched)] Epoch 138/300 | train_loss=1.0726 train_acc~=85.98% | val_loss=0.4131 val_acc=93.98% | best=93.98%@138 | elapsed=23.8m
